id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,wd_rb_taxon_match,content_status,wd_linked,notes
1,plants_fungi,vol1,Австрийски плеуроспермум,Pleurospermum austriacum,CR,yes,https://bg.wikipedia.org/wiki/Австрийски_плеуроспермум,Q114110,http://e-ecodb.bas.bg/rdb/bg/vol1/Pleaustr.html,Австрийски плеуроспермум,Pleurospermum austriacum,австрийски плеуроспермум,Pleurospermum austriacum,yes,todo,,
2,plants_fungi,vol1,Азиатска каменоломка,Saxifraga mollis,EN,redirect,https://bg.wikipedia.org/wiki/Сибирска_каменоломка,Q111044475,http://e-ecodb.bas.bg/rdb/bg/vol1/Saxmolli.html,Азиатска каменоломка,Saxifraga mollis,Азиатска каменоломка,Saxifraga mollis,yes,todo,,WP redirect -> Сибирска каменоломка
3,plants_fungi,vol1,Азиатска мишовка,Minuartia mesogitana,EN,yes,https://bg.wikipedia.org/wiki/Азиатска_мишовка,Q15570255,http://e-ecodb.bas.bg/rdb/bg/vol1/Minmesog.html,Азиатска мишовка,Minuartia mesogitana,азиатска мишовка,Minuartia mesogitana,yes,todo,,
4,plants_fungi,vol1,Азиатска песъчарка,Arenaria gypsophiloides,EN,yes,https://bg.wikipedia.org/wiki/Азиатска_песъчарка,Q87595002,http://e-ecodb.bas.bg/rdb/bg/vol1/Aregypso.html,Азиатска песъчарка,Arenaria gypsophiloides,азиатска песъчарка,Arenaria gypsophiloides,yes,todo,,
5,plants_fungi,vol1,Айтоски клин,Astracantha arnacantha,EN,yes,https://bg.wikipedia.org/wiki/Айтоски_клин,Q15505248,http://e-ecodb.bas.bg/rdb/bg/vol1/Astarnac.html,Айтоски клин,Astracantha arnacantha,Astracantha arnacantha,Astracantha arnacantha,yes,todo,,
6,plants_fungi,vol1,Албански крем,Lilium albanicum,CR,yes,https://bg.wikipedia.org/wiki/Албански_крем,Q1030941,http://e-ecodb.bas.bg/rdb/bg/vol1/Lilalban.html,Албански крем,Lilium albanicum,албански крем,Lilium albanicum,yes,todo,,
7,plants_fungi,vol1,Алдрованда,Aldrovanda vesiculosa,CR,yes,https://bg.wikipedia.org/wiki/Алдрованда,Q572652,http://e-ecodb.bas.bg/rdb/bg/vol1/Aldvesic.html,Алдрованда,Aldrovanda vesiculosa,жлезиста алдрованда,Aldrovanda vesiculosa,no,todo,,
8,plants_fungi,vol1,Алепска млечка,Euphorbia aleppica,EN,yes,https://bg.wikipedia.org/wiki/Алепска_млечка,Q12230481,http://e-ecodb.bas.bg/rdb/bg/vol1/Eupalepp.html,Алепска млечка,Euphorbia aleppica,алепска млечка,Euphorbia aleppica,yes,published_bot,yes,Article + Wikidata bgwiki sitelink created by bot 2026-06-21
9,plants_fungi,vol1,Алиботушка боянка,Erysimum slavjankae,EN,yes,https://bg.wikipedia.org/wiki/Алиботушка_боянка,Q15544531,http://e-ecodb.bas.bg/rdb/bg/vol1/Eryslavj.html,Алиботушка боянка,Erysimum slavjankae,алиботушка боянка,Erysimum slavjankae,yes,todo,,
10,plants_fungi,vol1,Алоевиден стратиотес,Stratiotes aloides,CR,yes,https://bg.wikipedia.org/wiki/Алоевиден_стратиотес,Q162030,http://e-ecodb.bas.bg/rdb/bg/vol1/Straloid.html,Алоевиден стратиотес,Stratiotes aloides,алоевиден стратиотес,Stratiotes aloides,yes,todo,,
